sid,stimfile,eye_used,trialid,n_fix_trial,sum_fix_dur_trial,dwell_time_trial,mean_fix_dur_trial,n_sacc_trial,sum_sacc_dur_trial,mean_sacc_dur_trial,mean_sacc_ampl_trial,ratio_progress_regress_trial,n_between_line_regress_trial,n_within_line_regress_trial,n_regress_trial,n_progress_trial,n_transit_trial,aoi,aoi_kind,content,dwell_time_aoi,n_fix_aoi,sum_fix_dur_aoi,mean_fix_dur_aoi,skipped_aoi,n_fix_first_visit_aoi,first_fix_dur_aoi,first_fix_land_pos_aoi,dwell_time_first_visit_aoi,sum_fix_dur_first_visit_aoi,sum_fix_dur_after_first_visit_aoi,dwell_time_rereading_aoi,n_revisits_aoi,task
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_006,subline,sa,1339.9320000000298,3,2703.8499999998603,901.2833333332868,0,1,379.99399999994785,0.8421621621621613,375.99499999999534,379.99399999994785,971.9309999999823,963.9370000000345,2,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_007,subline,řazvíty.,4039.6049999999814,5,7975.211999999825,1595.042399999965,0,1,475.7839999999851,0.2777358490566043,471.7820000000065,475.7839999999851,3511.8219999999274,3567.822999999975,2,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_008,subline,Hoče,955.9940000000643,2,1927.9860000000335,963.9930000000168,0,1,663.9780000000028,0.25929487179487065,659.9780000000028,663.9780000000028,300.01500000001397,296.01600000006147,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_009,subline,se,399.9419999999227,2,815.8779999997932,407.9389999998966,0,1,207.93599999998696,0.08439189189189042,203.93900000001304,207.93599999998696,200.00299999990966,196.00299999990966,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_010,subline,hašlá,1983.8360000000102,4,3887.732000000309,971.9330000000773,0,1,815.9060000000754,0.12032894736842081,811.9070000000065,815.9060000000754,1127.9600000000792,1171.9290000000037,2,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_011,subline,řilozá,3415.4679999999935,3,6766.925999999978,2255.6419999999925,0,3,1579.795000000042,0.15789156626506046,3415.4679999999935,3383.462999999989,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_012,subline,stým,0.0,0,0.0,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_013,subline,a,0.0,0,0.0,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_014,subline,ravízda.,3363.8669999999693,3,6631.707999999868,2210.5693333332893,0,3,1759.951000000001,0.11462053571428653,3363.8669999999693,3315.853999999934,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_015,subline,Douje,623.9990000000689,1,1255.9939999999478,1255.9939999999478,0,1,627.9969999999739,0.1196236559139785,623.9990000000689,627.9969999999739,0.0,0.0,0,T5_Pseudo_Text
